id,post,"created at"
90,"Are you a podcast listener? <br /><br />A recent film screening at the United Nations of the feature film &quot;Brooklyn&quot; and its ties to the issues of refugees and migration is the subject of the first ever UN Radio podcast!<br /><br />Hear directly from Irish writer Colm Tóibín, on whose novel the film is based, and the movie’s star, Saoirse Ronan – both of whom tell UN Radio about how the film’s plot mirrored many aspects of their own lives.<br /><br />Ahead of Sunday&#39;s The Academy &quot;Oscars&quot; Award ceremony, take a listen and let us know what you think! <br /><br />Listen here: <a href=""http://ow.ly/YOjc7"">http://ow.ly/YOjc7</a>  <br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23BrooklynMovie"">#BrooklynMovie</a>  <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Oscars"">#Oscars</a><br /><br />Picture with producer Matthew Wells and actress Saoirse Ronan.﻿","2016-02-28 21:15:27"
91,"This Foucault Pendulum in the main lobby of the UN Headquarters in New York offers visual proof of the earth&#39;s rotation.<br /><br />The 200-pound gold-plated sphere is suspended from the ceiling 75 feet above the floor and over a raised metal ring, containing an electromagnet in the centre. The sphere is held by a stainless steel wire which allows the weighted ball to swing freely in any plane. It slowly shifts in a clockwise direction, with a complete cycle taking about 36 hours and 45 minutes.<br /><br />A gift to the UN from the Government of the Netherlands, the pendulum utilizes the principle first demonstrated by the noted French physicist, J. Foucault.<br /><br />UN Photo/Rick Bajornas﻿","2016-02-28 07:25:16"
92,"The future of wildlife is <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23InOurHands"">#InOurHands</a>. <br /><br />Take a look at the New +UNODC  <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23WildlifeCrime"">#WildlifeCrime</a> video here: <br /><a href=""http://ow.ly/YNwXL"">http://ow.ly/YNwXL</a> <br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23WWD2016"">#WWD2016</a>﻿","2016-02-28 03:30:45"
93,"Meet Tanah: This hero helps your child survive a major disaster.<br /><br />She is the central character of &quot;Tanah: The Tsunami &amp; Earthquake Fighter&quot;, a mobile app released by UNESCO and Open Dream to teach young players to prepare for, respond to, and recover from Tsunami and Earthquake disasters.<br /><br />Learn more here: <a href=""http://www.tanahthegame.com/"">http://www.tanahthegame.com/</a> <br /><br />via +UNESCO﻿","2016-02-27 22:15:32"
94,"With a few key strokes and clicks of a mouse, you’ve just finished your banking, paid your bills and did some shopping. <br /><br />But remember how things were before the internet?<br />That’s how it still is for 60% of the world’s population. <br /><br />How has access to digital technology transformed your life? <br /><br />More from World Bank here: <a href=""http://wrld.bg/XHxNB"">http://wrld.bg/XHxNB</a> <br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23digitaldividends"">#digitaldividends</a>﻿","2016-02-27 07:31:01"
95,"Do you have an idea for tech innovation? Today is the last day to apply for @UNICEFinnovate funding <br /><br />Learn more here: <a href=""http://unicefinnovationfund.org"">http://unicefinnovationfund.org</a>  <br /><br /><a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23uinnovate"">#uinnovate</a><br /><br />via +UNICEF﻿","2016-02-27 03:15:23"
96,"We live in troubling times: Global displacement is as high as it was during the Second World War. Atrocity crimes are occurring in conflicts around the world. The Responsibility to Protect ( <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23R2P"">#R2P</a> ) is more important than ever.<br /><br />Today @UN_PGA event in NYC &quot;From Commitment to Implementation: 10 Years of <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23R2P"">#R2P</a>.&quot;<br /><br />Watch the live video feed here:  <a href=""http://webtv.un.org"">http://webtv.un.org</a>   ﻿","2016-02-26 22:01:51"
97,"School meals remain an important safety net for many communities.<br /><br />World Food Programme provides school meals to 770,000 children in 1,700 schools in Kenya, as well as a mid-morning meal for all primary and pre-primary school children at refugee camps in the country.<br /><br />Photo: ©WFP/Rein Skullerud﻿","2016-02-26 07:31:00"
98,"Calling all football/soccer fans! Thank you, to Global Goals for Sustainable Development Advocate and UNICEF Goodwill Ambassador Leo Messi!<br /><br />Learn more here: <a href=""https://plus.google.com/share?url=http://www.unicef.org/media/media_90308.html"">https://plus.google.com/share?url=http://www.unicef.org/media/media_90308.html</a>  <br /><br />via <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/100379471031450585233"" oid=""100379471031450585233"">UNICEF</a></span> ﻿","2016-02-26 02:28:15"
99,"Child Protection Personnel of UNMISS Police Visit School at POC Site<br />Police officers of the United Nations Mission in South Sudan (UNMISS) play with children at the Temporary Learning Space of the Protection of Civilians (POC) site 2 in Juba.<br /><br />The officers are members of the Gender Child and Vulnerable Persons Protection (GCVPP) Unit of UN Police (UNPOL) in the Mission.<br /><br />23 July 2015<br />Juba, South Sudan<br /><br />photo: JC﻿","2016-02-25 22:29:29"
